Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.11034	-0.112216
0.11345	-0.112235
0.11641	-0.112255
0.12373	-0.112314
0.13586	-0.112373
0.14412	-0.112433
0.14919	-0.112452
0.14789	-0.112452
0.14439	-0.112452
0.14015	-0.112413
0.13681	-0.112413
0.13669	-0.112413
0.13632	-0.112413
0.13528	-0.112413
0.13638	-0.112413
0.14505	-0.112413
0.14055	-0.112413
0.13857	-0.112413
0.13947	-0.112413
0.13947	-0.112413
0.14	-0.112413
0.13995	-0.112413
0.1404	-0.112433
0.14105	-0.112452
0.14433	-0.112452
0.14502	-0.112452
0.14569	-0.112472
0.15096	-0.112492
0.15552	-0.112511
0.15807	-0.112511
0.16539	-0.112531
0.19124	-0.112669
0.20654	-0.112768
0.22083	-0.112847
0.24194	-0.112965
0.26488	-0.113123
0.28358	-0.113281
0.29694	-0.113478
0.30173	-0.113655
0.30057	-0.113833
0.29413	-0.113971
0.29161	-0.114011
0.28772	-0.11403
0.28664	-0.11405
0.28534	-0.114109
0.28412	-0.114129
0.27582	-0.114168
0.2718	-0.114227
0.27209	-0.114227
0.26949	-0.114227
0.24518	-0.114366
0.21553	-0.114563
0.20192	-0.114661
0.17203	-0.114819
0.14522	-0.114957
0.13171	-0.115036
0.12172	-0.115115
0.1115	-0.115155
0.101	-0.115233
0.09084	-0.115312
0.08168	-0.115391
0.0679	-0.115549
0.0607	-0.115687
0.05917	-0.115825
0.06303	-0.116003
0.07341	-0.11618
0.09293	-0.116397
0.12193	-0.116634
0.14951	-0.116871
0.18184	-0.117127
0.20558	-0.117364
0.21606	-0.117541
0.22034	-0.117758
0.21719	-0.117936
0.20636	-0.118113
0.18086	-0.118271
0.1593	-0.118429
0.13341	-0.118626
0.10683	-0.118843
0.08607	-0.119021
0.0703	-0.119238
0.0623	-0.119494
0.06755	-0.11975
0.08313	-0.120007
0.1057	-0.120283
0.12508	-0.1205
0.13637	-0.120618
0.14537	-0.120756
0.15456	-0.120875
0.16177	-0.121033
0.16621	-0.121289
0.16203	-0.121605
0.15259	-0.121822
0.14255	-0.12196
0.13754	-0.121999
0.13586	-0.121999
0.13457	-0.12194
0.13295	-0.12194
0.13388	-0.12194
0.13272	-0.12194
0.13333	-0.12194
0.133	-0.12194
0.13275	-0.12194
0.13312	-0.12194
0.13358	-0.12194
0.132	-0.12194
0.13344	-0.12194
0.1338	-0.12194
0.13364	-0.12194
0.13387	-0.12194
0.13374	-0.12194
0.13553	-0.121979
0.13612	-0.121979
0.13684	-0.121999
0.13799	-0.121999
0.1366	-0.122058
0.12604	-0.122196
0.1134	-0.122374
0.09544	-0.122591
0.07918	-0.122808
0.06792	-0.122946
0.05885	-0.123143
0.05127	-0.12338
0.04942	-0.123636
0.05495	-0.123912
0.06541	-0.124149
0.07816	-0.124346
0.09175	-0.124524
0.10437	-0.124701
0.12175	-0.124859
0.13184	-0.125037
0.13927	-0.125195
0.14366	-0.125352
0.14523	-0.12549
0.14471	-0.125629
0.14188	-0.125747
0.13832	-0.125865
0.13315	-0.125984
0.12805	-0.126082
0.12318	-0.126141
0.11633	-0.12624
0.10941	-0.126339
0.10278	-0.126418
0.09563	-0.126516
0.0851	-0.126635
0.07382	-0.126792
0.0603	-0.127009
0.05077	-0.127325
0.05312	-0.12764
0.06242	-0.127917
0.07515	-0.128153
0.08253	-0.128272
0.08556	-0.128331
0.08702	-0.128351
0.09288	-0.128449
0.09952	-0.128568
0.10519	-0.128686
0.1109	-0.128844
0.1156	-0.129021
0.11815	-0.129179
0.11816	-0.129317
0.11716	-0.129435
0.11617	-0.129534
0.11247	-0.129652
0.10927	-0.129771
0.10382	-0.129909
0.09697	-0.130067
0.08853	-0.130244
0.08203	-0.130343
0.07365	-0.13052
0.06706	-0.130599
0.06781	-0.130599
0.06705	-0.13056
0.0677	-0.13054
0.06728	-0.13054
0.06691	-0.13054
0.06717	-0.13054
0.06725	-0.13054
0.06732	-0.13054
0.06691	-0.13054
0.0667	-0.13054
0.06721	-0.13054
0.067	-0.13054
0.0672	-0.13054
0.06749	-0.13054
0.0677	-0.13054
0.06851	-0.13054
0.06764	-0.13058
0.06754	-0.130599
0.06691	-0.130599
0.06683	-0.130599
0.06607	-0.130599
0.06105	-0.130757
0.05115	-0.131013
0.04457	-0.131329
0.04529	-0.131625
0.05316	-0.131901
0.06317	-0.132098
0.07381	-0.132315
0.08739	-0.132552
0.10056	-0.132769
0.10808	-0.132966
0.1131	-0.133144
0.11487	-0.133321
0.11249	-0.133479
0.10849	-0.133676
0.10017	-0.133893
0.08955	-0.134071
0.0797	-0.134229
0.07178	-0.134406
0.06334	-0.134584
0.05681	-0.134741
0.05179	-0.13488
0.04898	-0.135018
0.04674	-0.135175
0.04584	-0.135353
0.04637	-0.13555
0.04889	-0.135767
0.054	-0.136004
0.06018	-0.136241
0.06573	-0.136458
0.07198	-0.136655
0.07701	-0.136852
0.08131	-0.13701
0.08376	-0.137168
0.08499	-0.137325
