Relative Intensity Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
0.0210266	-0.12377438
0.0184784	-0.12405053
0.0160675	-0.1244253
0.0159607	-0.12448448
0.0161591	-0.12452393
0.0157013	-0.12472118
0.0144653	-0.1249776
0.0134277	-0.1251354
0.0131683	-0.1251354
0.0128632	-0.1251354
0.0131226	-0.12511568
0.0132751	-0.1250565
0.013855	-0.1250565
0.0139771	-0.1250565
0.0134735	-0.1250565
0.0129089	-0.1250565
0.0124817	-0.1250565
0.0123444	-0.1250565
0.0125427	-0.12509595
0.0126038	-0.1251354
0.0131836	-0.1251354
0.0131226	-0.12515513
0.0116882	-0.1255299
0.0106201	-0.12586523
0.010025	-0.12606248
0.0097656	-0.12620055
0.009613	-0.12637808
0.0097504	-0.12669368
0.0104065	-0.12698955
0.0104218	-0.12736433
0.0101929	-0.12775883
0.0100403	-0.1280547
0.0099487	-0.12811388
0.0102081	-0.12848865
0.0108948	-0.12870563
0.0112762	-0.12870563
0.0120392	-0.12870563
0.0120239	-0.12862673
0.0115356	-0.12862673
0.0111694	-0.12862673
0.0110016	-0.12862673
0.010849	-0.12862673
0.0110474	-0.12862673
0.011322	-0.12862673
0.0121155	-0.12862673
0.0119629	-0.12870563
0.0115356	-0.12870563
0.0115051	-0.1290804
0.0125275	-0.13000747
0.0128937	-0.13016528
0.0133667	-0.13044143
0.0136566	-0.13061895
0.0147247	-0.1307373
0.01474	-0.13103318
0.0145721	-0.13134878
0.0146484	-0.13162493
0.0147858	-0.13188135
0.0158081	-0.13221668
0.016571	-0.1323153
0.0177612	-0.13243365
0.0187225	-0.13261118
0.0187378	-0.1327098
0.01828	-0.13272953
0.017807	-0.13272953
0.0177307	-0.13267035
0.01828	-0.13267035
0.0184326	-0.13267035
0.0193024	-0.13267035
0.0192413	-0.13267035
0.0187836	-0.13267035
0.0182343	-0.13267035
0.0179901	-0.13267035
0.0183563	-0.1327098
0.0187378	-0.13272953
0.0199585	-0.13276898
0.024292	-0.1334199
0.0273438	-0.1339722
0.0278015	-0.13411028
0.0289764	-0.1344456
0.0298309	-0.13456395
0.0305481	-0.1348401
0.03125	-0.1351557
0.0307007	-0.13521487
0.0288849	-0.13556992
0.0278625	-0.13568827
0.0277557	-0.13576717
0.0270844	-0.13616167
0.0277557	-0.13622085
0.0278625	-0.13622085
0.0272675	-0.13622085
0.0266418	-0.13616167
0.0261993	-0.13614195
