Time (s) rumore_di_fondo_lampadina	Light Intensity (% of scale max) rumore_di_fondo_lampadina
57.64	0.04393
57.68	0.04413
57.72	0.0441
57.76	0.04384
57.8	0.04414
57.84	0.04401
57.88	0.04396
57.92	0.04405
57.96	0.04395
58.0	0.04416
58.04	0.04399
58.08	0.04427
58.12	0.04387
58.16	0.04416
58.2	0.04428
58.24	0.04376
58.28	0.04372
58.32	0.04408
58.36	0.04398
58.4	0.04379
58.44	0.04395
58.48	0.04385
58.52	0.04385
58.56	0.04427
58.6	0.04401
58.64	0.04396
58.68	0.04402
58.72	0.04359
58.76	0.0439
58.8	0.0435
58.84	0.04364
58.88	0.04356
58.92	0.04355
58.96	0.04333
59.0	0.04405
59.04	0.04349
59.08	0.0435
59.12	0.0435
59.16	0.04318
59.2	0.04367
59.24	0.04332
59.28	0.04335
59.32	0.04312
59.36	0.04329
59.4	0.04311
59.44	0.043
59.48	0.04326
59.52	0.04329
59.56	0.04282
59.6	0.04265
59.64	0.04268
59.68	0.04272
59.72	0.04279
59.76	0.04274
59.8	0.04289
59.84	0.04298
59.88	0.04286
59.92	0.04266
59.96	0.04288
60.0	0.04312
60.04	0.04263
60.08	0.04279
60.12	0.04266
60.16	0.04294
60.2	0.04285
60.24	0.04254
60.28	0.04279
60.32	0.04295
60.36	0.04254
60.4	0.04318
60.44	0.04272
60.48	0.04301
60.52	0.04286
60.56	0.04312
60.6	0.04257
60.64	0.04254
60.68	0.04327
60.72	0.04303
60.76	0.04298
60.8	0.04321
60.84	0.04292
60.88	0.04306
60.92	0.04312
