Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.07726	-0.133775
0.0777	-0.133814
0.077	-0.133814
0.07712	-0.133735
0.07822	-0.133479
0.07599	-0.133223
0.07648	-0.133242
0.07692	-0.133223
0.07689	-0.133223
0.07741	-0.133223
0.07701	-0.133282
0.07729	-0.133321
0.07477	-0.133459
0.07541	-0.133637
0.07892	-0.13413
0.08229	-0.134446
0.08463	-0.134702
0.08678	-0.134939
0.08635	-0.135156
0.08275	-0.13553
0.08148	-0.13559
0.07611	-0.135984
0.06541	-0.136438
0.06206	-0.136615
0.05571	-0.137168
0.04852	-0.137799
0.04622	-0.138055
0.04489	-0.13843
0.04326	-0.138608
0.0434	-0.138608
0.04344	-0.138608
0.04323	-0.138568
0.04314	-0.138548
0.04317	-0.138489
0.04309	-0.138469
0.04272	-0.138469
0.04257	-0.138469
0.04291	-0.138469
0.04282	-0.138469
0.04295	-0.138529
0.04305	-0.138548
0.04259	-0.138686
0.04063	-0.13918
0.03925	-0.139535
0.03731	-0.139909
0.03494	-0.140383
0.03409	-0.140718
0.03314	-0.141034
0.03267	-0.141487
0.03278	-0.141862
0.03308	-0.142178
0.03386	-0.142592
0.03467	-0.142927
0.03566	-0.143164
0.0365	-0.143302
0.03638	-0.143302
0.03642	-0.143263
0.03664	-0.143026
0.03679	-0.143006
0.03629	-0.143046
0.03664	-0.143026
0.0369	-0.143006
0.03656	-0.143006
0.03668	-0.143006
0.03633	-0.143026
0.03667	-0.143046
0.03596	-0.143203
0.03696	-0.14344
0.04172	-0.14419
0.04448	-0.144663
0.0463	-0.145097
0.04602	-0.145393
0.04581	-0.145827
0.0468	-0.146379
0.04736	-0.146517
0.04968	-0.146951
0.05269	-0.147326
0.05313	-0.147346
0.05347	-0.147346
0.05342	-0.147346
0.05324	-0.147326
0.05348	-0.147287
0.05391	-0.147168
0.05362	-0.147168
0.05347	-0.147168
0.05354	-0.147168
0.05379	-0.147168
0.05444	-0.147168
